Unnamed: 0,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code,OS compliant Postcode,Admin_county_code,Admin_district_code,Admin_ward_code
0,Queens Road,1675000,House,2716,5,5,5,Wimbledon,London,SW19 8NY,SW198NY,,Merton London Boro,Trinity Ward
1,Seward Street,650000,Flat / Apartment,814,2,2,2,Clerkenwell,London,EC1V 3PA,EC1V3PA,,Islington London Boro,Bunhill Ward
2,Hotham Road,735000,Flat / Apartment,761,2,2,2,Putney,London,SW15 1QL,SW151QL,,Wandsworth London Boro,Thamesfield Ward
3,Festing Road,1765000,House,1986,4,4,4,Putney,London,SW15 1LP,SW151LP,,Wandsworth London Boro,Thamesfield Ward
4,Spencer Walk,675000,Flat / Apartment,700,2,2,2,Putney,London,SW15 1PL,SW151PL,,Wandsworth London Boro,Thamesfield Ward
5,Craven Hill Gardens,420000,Flat / Apartment,403,1,1,1,,London,W2 3EA,NW2 3EA,,Barnet London Boro,Childs Hill Ward
6,Alfriston Road,1475000,House,1548,4,4,4,,London,SW11 6NW,SW116NW,,Wandsworth London Boro,Northcote Ward
7,Bishops Gate,650000,New development,560,1,1,1, Fulham,London,SW6 3LF,SW6 3LF,,Hammersmith and Fulham London Boro,Palace Riverside Ward
8,Adam & Eve Mews,2500000,House,1308,3,3,3,,London,W8 6UG,W8  6UG,,Kensington and Chelsea London Boro,Abingdon Ward
9,Hornton Street,925000,Flat / Apartment,646,2,2,2,,London,W8 4NT,CW8 4NT,,Cheshire West and Chester (B),Northwich Winnington & Castle Ward
10,Drakefield Road,2400000,House,3392,6,6,6,,London,SW17 8RR,SW178RR,,Wandsworth London Boro,Bedford Ward
11,Cromwell Avenue,2500000,House,2974,6,6,6,Highgate,London,N6 5HQ,EN6 5HQ,Hertfordshire County,Hertsmere District (B),Potters Bar Oakmere Ward
12,Ashley Park Avenue,2795000,House,5294,5,5,5,Walton-on-Thames,Surrey,KT12 1ER,KT1 1ER,,Kingston upon Thames London Boro,Grove Ward
13,Grove End House,725000,Flat / Apartment,778,2,2,2, St. John's Wood,London,NW8 9HP,NW8 9HP,,City of Westminster London Boro,Regent's Park Ward
14,Abercorn Mansions,750000,Flat / Apartment,647,2,2,2,17 Abercorn Place,London,NW8 9DY,NW8 9DY,,City of Westminster London Boro,Abbey Road Ward
15,Chester Terrace,12500000,House,4596,6,6,6,Regents Park,London,NW1 4ND,NW1 4ND,,Camden London Boro,Regent's Park Ward
16,Cambridge Park,1450000,Flat / Apartment,1702,3,3,3,,Twickenham,TW1 2PF,TW1 2PF,,Richmond upon Thames London Boro,Twickenham Riverside Ward
17,Hazelwood Lane,1250000,House,3503,6,6,6, Coulsdon,Surrey,CR5 3QW,CR5 3QW,Surrey County,Reigate and Banstead District (B),"Chipstead, Kingswood & Woodmansterne Ward"
18,Elsworthy Rise,2275000,New development,1173,3,3,3,Primrose Hill,London,NW3 3DS,NW3 3DS,,Camden London Boro,Swiss Cottage Ward
19,St. Anns Road,1075000,Duplex,865,2,2,2,,Holland Park,W11 4SR,W11 4SR,,Kensington and Chelsea London Boro,Norland Ward
20,Clapham Road,500000,Flat / Apartment,597,1,1,1,,London,SW9 9BT,SW9 9BT,,Lambeth London Boro,Larkhall Ward
21,Devonshire Close,5500000,House,3016,4,4,4,Marylebone,London,W1G 7BA,W1G 7BA,,City of Westminster London Boro,Marylebone High Street Ward
22,The Draycott,8950000,New development,3154,4,4,4,10 Draycott Avenue,London,SW3 3AA,SW3 3AA,,Kensington and Chelsea London Boro,Royal Hospital Ward
23,Campden Hill Gardens,1175000,Flat / Apartment,765,2,2,2,,London,W8 7AX,NW8 7AX,,City of Westminster London Boro,Regent's Park Ward
24,College Cross,550000,Flat / Apartment,479,1,1,1,Islington,London,N1 1PT,EN1 1PT,,Enfield London Boro,Southbury Ward
25,St Mary's Grove,1300000,House,1101,3,3,3, Islington,London,N1 2NT,DN1 2NT,,Doncaster District (B),Town Ward
26,Goldhurst Terrace,800000,Flat / Apartment,1177,3,3,3,South Hampstead,London,NW6 3HR,NW6 3HR,,Camden London Boro,Swiss Cottage Ward
27,Upper Park Road,3500000,House,2331,4,4,4,Belsize Park,London,NW3 2UP,NW3 2UP,,Camden London Boro,Gospel Oak Ward
28,Ditton Grove,374950,New development,664,2,2,2,Esher,Surrey,KT10 9FN,KT1 9FN,,Kingston upon Thames London Boro,Norbiton Ward
29,Roymount Court,400000,Flat / Apartment,805,2,2,2, Surbiton,Surrey,KT6 6NW,KT6 6NW,,Kingston upon Thames London Boro,Surbiton Hill Ward
30,Wetherby House,1100000,Flat / Apartment,582,2,2,2,20-21 Wetherby Gardens,London,SW5 0JP,SW5 0JP,,Kensington and Chelsea London Boro,Courtfield Ward
31,Fernside Road,1200000,House,1494,4,4,4,,London,SW12 8LJ,SW128LJ,,Wandsworth London Boro,Nightingale Ward
32,Telford Avenue,1250000,House,1507,4,4,4,,London,SW2 4XF,SW2 4XF,,Lambeth London Boro,Streatham Hill Ward
33,Telford Avenue,695000,Flat / Apartment,945,3,3,3,,London,SW2 4XQ,SW2 4XQ,,Lambeth London Boro,Streatham Hill Ward
34,Stile Hall Gardens,1735000,House,2118,4,4,4,Chiswick,London,W4 3BS,NW4 3BS,,Barnet London Boro,West Hendon Ward
35,Wavendon Avenue,2350000,House,2297,5,5,5,Chiswick,London,W4 4NR,NW4 4NR,,Barnet London Boro,West Hendon Ward
36,Duke Road,1200000,House,1351,4,4,4,Chiswick,London,W4 2BA,NW4 2BA,,Barnet London Boro,Hendon Ward
37,Hobury Street,975000,Flat / Apartment,749,2,2,2,,London,SW10 0JB,SW100JB,,Kensington and Chelsea London Boro,Stanley Ward
38,Maltings Close,850000,House,1177,3,3,3,Barnes,London,SW13 0NL,SW130NL,,Richmond upon Thames London Boro,Mortlake and Barnes Common Ward
39,Munster Road,1599950,House,1884,4,4,4,Fulham,London,SW6 5RF,SW6 5RF,,Hammersmith and Fulham London Boro,Munster Ward
40,Khyber Road,925000,Flat / Apartment,1321,2,2,2,,London,SW11 2PZ,SW112PZ,,Wandsworth London Boro,Latchmere Ward
41,Coles Court,650000,Flat / Apartment,869,3,3,3,,Battersea,SW11 3DU,SW113DU,,Wandsworth London Boro,St. Mary's Park Ward
42,Prince Of Wales Mansions,550000,Flat / Apartment,670,1,1,1,,London,SW11 4BG,SW114BG,,Wandsworth London Boro,Queenstown Ward
43,Old Battersea House,9975000,House,10100,10,10,10, Battersea,London,SW11 3LD,SW113LD,,Wandsworth London Boro,St. Mary's Park Ward
44,Kersley Street,1850000,House,1910,5,5,5,,London,SW11 4PT,SW114PT,,Wandsworth London Boro,Latchmere Ward
45,Battersea Bridge Road,525000,New development,590,1,1,1,,London,SW11 3AU,SW113AU,,Wandsworth London Boro,St. Mary's Park Ward
46,Larkhall Rise,2200000,House,2239,4,4,4,,London,SW4 6HS,SW4 6HS,,Lambeth London Boro,Clapham Town Ward
47,Ashley Park Avenue,3450000,House,5599,6,6,6,Walton-on-Thames,Surrey,KT12 1EU,KT1 1EU,,Kingston upon Thames London Boro,Grove Ward
48,Carlisle Mansions,1999999,Flat / Apartment,1608,3,3,3, Victoria,London,SW1P 1EZ,SW1P1EZ,,City of Westminster London Boro,Vincent Square Ward
49,Park Close,725000,House,884,3,3,3,South Hackney,London,E9 7LF,E9  7LF,,Hackney London Boro,Victoria Ward
50,Century Court,1750000,Flat / Apartment,1232,2,2,2,Grove End Road,London,NW8 9LD,NW8 9LD,,City of Westminster London Boro,Regent's Park Ward
51,Eaton Square,5250000,Flat / Apartment,2299,3,3,3,,London,SW1W 9DF,SW1W9DF,,City of Westminster London Boro,Knightsbridge and Belgravia Ward
52,Hornsey Town Hall,1250000,New development,1307,3,3,3,Crouch End,London,N8 9JJ,EN8 9JJ,Hertfordshire County,Broxbourne District (B),Cheshunt North Ward
53,"The oTTo, Hackney",490000,New development,570,1,1,1, Downs Road,Clapton,E5 8DS,E5  8DS,,Hackney London Boro,Hackney Downs Ward
54,Francis House,3350000,Penthouse,2185,3,3,3,Coleridge Gardens,London,SW10 0RP,SW100RP,,Kensington and Chelsea London Boro,Stanley Ward
55,Wendle Square,1000000,Flat / Apartment,1228,3,3,3,Battersea,London,SW11 4SS,SW114SS,,Wandsworth London Boro,St. Mary's Park Ward
56,Rectory Road,2350000,House,2511,4,4,4,Barnes,London,SW13 0DX,SW130DX,,Richmond upon Thames London Boro,Barnes Ward
57,Thames Quay,2095000,Flat / Apartment,1528,3,3,3,Chelsea Harbour,London,SW10 0UY,SW100UY,,Hammersmith and Fulham London Boro,Sands End Ward
58,Prince Edward Mansions,1250000,Flat / Apartment,811,2,2,2, Bayswater,London,W2 4WA,W2  4WA,,City of Westminster London Boro,Lancaster Gate Ward
59,Harbut Road,735000,Flat / Apartment,969,2,2,2,,London,SW11 2RE,SW112RE,,Wandsworth London Boro,Fairfield Ward
60,Chasefield Road,875000,House,1132,4,4,4,Tooting,London,SW17 8LW,SW178LW,,Wandsworth London Boro,Graveney Ward
61,Fernwood Avenue,1250000,House,2498,6,6,6,,London,SW16 1RD,SW161RD,,Lambeth London Boro,St. Leonard's Ward
62,Havilland Mews,595000,Flat / Apartment,643,2,2,2,,London,W12 8BG,W12 8BG,,Hammersmith and Fulham London Boro,Askew Ward
63,Hampermill Lane,1675000,House,5022,3,3,3,Watford,Hertfordshire,WD19 4PL,WD194PL,Hertfordshire County,Three Rivers District,Oxhey Hall & Hayling Ward
